college_code,college_name,course_name,caste_category,cutoff_percentile,cutoff_rank
1002,"Government College of Engineering, Amravati (Government Autonomous)",Civil Engineering,GOPEN,92.74,1282
1002,"Government College of Engineering, Amravati (Government Autonomous)",Civil Engineering,GST,76.79,28609
1002,"Government College of Engineering, Amravati (Government Autonomous)",Civil Engineering,GOBC,91.79,1927
1002,"Government College of Engineering, Amravati (Government Autonomous)",Civil Engineering,LOPEN,93,1147
1002,"Government College of Engineering, Amravati (Government Autonomous)",Civil Engineering,LSC,91.26,2355
1002,"Government College of Engineering, Amravati (Government Autonomous)",Civil Engineering,LSEBC,88.53,5376
1002,"Government College of Engineering, Amravati (Government Autonomous)",Civil Engineering,EWS,88.84,4977
1002,"Government College of Engineering, Amravati (Government Autonomous)",Computer Science and Engineering,GOPEN,94,647
1002,"Government College of Engineering, Amravati (Government Autonomous)",Computer Science and Engineering,GSC,90.86,2695
1002,"Government College of Engineering, Amravati (Government Autonomous)",Computer Science and Engineering,GST,80.06,21009
1002,"Government College of Engineering, Amravati (Government Autonomous)",Computer Science and Engineering,GOBC,93.89,698
1002,"Government College of Engineering, Amravati (Government Autonomous)",Computer Science and Engineering,GSEBC,92,1761
1002,"Government College of Engineering, Amravati (Government Autonomous)",Computer Science and Engineering,LOPEN,94.25,564
1002,"Government College of Engineering, Amravati (Government Autonomous)",Computer Science and Engineering,EWS,94.9,373
1002,"Government College of Engineering, Amravati (Government Autonomous)",Information Technology,GOPEN,93.16,1041
1002,"Government College of Engineering, Amravati (Government Autonomous)",Information Technology,GSC,89.37,4279
1002,"Government College of Engineering, Amravati (Government Autonomous)",Information Technology,GOBC,92.91,1188
1002,"Government College of Engineering, Amravati (Government Autonomous)",Information Technology,LOPEN,93.66,784
1002,"Government College of Engineering, Amravati (Government Autonomous)",Information Technology,LST,77.31,27376
1002,"Government College of Engineering, Amravati (Government Autonomous)",Information Technology,LSEBC,90,3533
1002,"Government College of Engineering, Amravati (Government Autonomous)",Information Technology,EWS,90.74,2798
1002,"Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,GOPEN,92.67,1329
1002,"Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,GST,79.45,22438
1002,"Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,GOBC,91.5,2157
1002,"Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,GSEBC,90.28,3250
1002,"Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,LOPEN,91.42,2227
1002,"Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,LSC,84.83,11282
1002,"Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,LOBC,88.61,5304
1002,"Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,EWS,88.79,5052
1002,"Government College of Engineering, Amravati (Government Autonomous)",Electronics and Telecommunication Engg,GOPEN,91.58,2103
